Disease,Department,Severity,Risk_Level,Advice,Prevention,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,cough,nasal congestion,sore throat,hoarse voice,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,body ache,runny nose,watery eyes,ear pressure,headache,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,cough,runny nose,sore throat,hoarse voice,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,watery eyes,sore throat,body ache,headache,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,fatigue,hoarse voice,nasal congestion,cough,sneezing,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,mild fever,nasal congestion,sneezing,sore throat,body ache,cough,headache,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,runny nose,mild fever,ear pressure,nasal congestion,cough,hoarse voice,sore throat,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,headache,runny nose,watery eyes,nasal congestion,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,hoarse voice,sore throat,runny nose,cough,ear pressure,headache,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,runny nose,sore throat,body ache,headache,nasal congestion,ear pressure,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sneezing,mild fever,ear pressure,sore throat,nasal congestion,hoarse voice,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,hoarse voice,ear pressure,sneezing,watery eyes,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sneezing,fatigue,headache,nasal congestion,sore throat,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,cough,sore throat,body ache,mild fever,headache,sneezing,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sore throat,hoarse voice,mild fever,body ache,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,headache,ear pressure,fatigue,sneezing,nasal congestion,runny nose,body ache,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,body ache,hoarse voice,headache,ear pressure,mild fever,runny nose,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,watery eyes,fatigue,runny nose,cough,hoarse voice,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,ear pressure,sneezing,headache,runny nose,hoarse voice,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,hoarse voice,fatigue,watery eyes,nasal congestion,cough,mild fever,headache,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,ear pressure,watery eyes,nasal congestion,mild fever,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,nasal congestion,headache,sneezing,fatigue,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,body ache,nasal congestion,watery eyes,sneezing,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,ear pressure,nasal congestion,watery eyes,sore throat,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,mild fever,sneezing,watery eyes,hoarse voice,cough,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,fatigue,cough,runny nose,mild fever,nasal congestion,hoarse voice,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sore throat,hoarse voice,runny nose,ear pressure,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,runny nose,watery eyes,sneezing,hoarse voice,fatigue,nasal congestion,body ache,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,watery eyes,hoarse voice,headache,sore throat,body ache,mild fever,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,headache,ear pressure,mild fever,fatigue,watery eyes,cough,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sore throat,runny nose,mild fever,cough,body ache,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,cough,runny nose,body ache,sore throat,ear pressure,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,mild fever,runny nose,watery eyes,sore throat,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,ear pressure,fatigue,sore throat,watery eyes,sneezing,mild fever,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sore throat,fatigue,headache,body ache,runny nose,cough,mild fever,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,mild fever,headache,ear pressure,fatigue,cough,body ache,hoarse voice,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,cough,headache,mild fever,runny nose,,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sore throat,body ache,watery eyes,fatigue,sneezing,,,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,sneezing,nasal congestion,fatigue,sore throat,runny nose,watery eyes,ear pressure,,,,,
Common Cold,General Medicine,Low,Low,Drink plenty of fluids and take adequate rest.,Wash hands frequently and avoid close contact with infected people.,cough,ear pressure,watery eyes,body ache,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,fatigue,body pain,sore throat,runny nose,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,fatigue,sore throat,high fever,body pain,loss of appetite,weakness,sweating,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,runny nose,headache,sore throat,muscle pain,sweating,cough,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,headache,fatigue,high fever,muscle pain,weakness,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,high fever,sweating,weakness,runny nose,body pain,loss of appetite,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,body pain,cough,weakness,loss of appetite,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,sore throat,cough,weakness,fatigue,high fever,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,sore throat,loss of appetite,weakness,muscle pain,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,headache,fatigue,chills,loss of appetite,sweating,muscle pain,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,loss of appetite,sweating,headache,runny nose,chills,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,high fever,runny nose,weakness,cough,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,muscle pain,fatigue,sweating,headache,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,chills,cough,fatigue,sweating,headache,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,runny nose,muscle pain,headache,loss of appetite,high fever,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,loss of appetite,cough,body pain,headache,sweating,high fever,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,headache,sweating,weakness,fatigue,chills,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,loss of appetite,sweating,headache,muscle pain,runny nose,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,high fever,cough,sore throat,headache,sweating,runny nose,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,body pain,loss of appetite,headache,sweating,runny nose,weakness,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,muscle pain,high fever,cough,weakness,body pain,headache,loss of appetite,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,weakness,muscle pain,body pain,sore throat,sweating,high fever,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,chills,high fever,sweating,fatigue,muscle pain,weakness,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,chills,muscle pain,sore throat,body pain,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,body pain,sweating,sore throat,high fever,loss of appetite,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,sore throat,loss of appetite,fatigue,headache,body pain,sweating,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,sore throat,high fever,runny nose,fatigue,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,runny nose,chills,headache,fatigue,muscle pain,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,loss of appetite,fatigue,sore throat,chills,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,cough,headache,chills,muscle pain,sore throat,weakness,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,high fever,cough,headache,body pain,weakness,sweating,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,weakness,sore throat,chills,sweating,,,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,weakness,muscle pain,cough,sore throat,fatigue,body pain,high fever,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,high fever,muscle pain,loss of appetite,fatigue,chills,weakness,sweating,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,weakness,chills,cough,headache,muscle pain,loss of appetite,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,chills,sore throat,headache,muscle pain,body pain,cough,fatigue,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,loss of appetite,body pain,weakness,headache,sore throat,muscle pain,high fever,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,headache,fatigue,sore throat,chills,runny nose,loss of appetite,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,loss of appetite,fatigue,muscle pain,runny nose,body pain,chills,high fever,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,muscle pain,loss of appetite,weakness,chills,cough,sore throat,,,,,,
Influenza,General Medicine,Medium,Medium,"Rest, stay hydrated and consult a doctor if symptoms worsen.",Annual flu vaccination and proper hygiene.,loss of appetite,headache,fatigue,weakness,body pain,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",fever,loss of taste,sore throat,dry cough,,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",headache,diarrhea,runny nose,loss of taste,chest pain,body pain,sore throat,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",loss of smell,diarrhea,fever,dry cough,headache,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",loss of smell,body pain,sore throat,fever,loss of taste,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",sore throat,loss of smell,chest pain,body pain,,,,,,,,
COVID-19,General Medicine,High,High,Isolate yourself and seek medical advice immediately.,"Vaccination, mask usage and hand hygiene.",sore throat,runny nose,body pain,headache,chest pain,dry cough,,,,,,
